name,X,Y,Z,factor,weight,distance.Origin,angle.Factor,is.Factor,count,color,color1
blakelively,-2.016799721,1.069074054,0.352552072,Factor2,14.28791877,2.309695523,17.77873365,0,352,#f6ebcf,0xf6ebcf
johnmayer,-0.070749912,0.364874913,-0.340366688,Factor4,11.71534722,0.50397295,41.5323511,0,148,#f6ebcf,0xf6ebcf
nordstrom,0.181679585,-0.945685463,-0.407801876,Factor3,13.29262936,1.045768061,56.02047875,0,150,#f6ebcf,0xf6ebcf
gwenstefani,-0.864184447,0.58713441,1.27151039,Factor2,13.67523985,1.645685342,24.92931741,0,143,#f6ebcf,0xf6ebcf
channingtatum,-1.638384347,1.099569043,0.465958383,Factor2,14.3346428,2.02743004,12.37686783,0,145,#f6ebcf,0xf6ebcf
chrissyteigen,-0.174125856,-1.133741753,0.477811913,Factor3,13.1068593,1.242575712,33.85431923,0,720,#f6ebcf,0xf6ebcf
britneyspears,-0.148750569,0.448234528,0.169207909,Factor2,12.27779408,0.501669453,35.30813472,0,313,#f6ebcf,0xf6ebcf
kristenanniebell,-2.464525563,0.514049413,1.267772015,Factor2,14.70949113,2.818754855,19.74915749,0,483,#f6ebcf,0xf6ebcf
johnlegend,0.158421545,0.278635067,0.959137304,Factor5,12.27799206,1.011276052,69.44030012,0,222,#f6ebcf,0xf6ebcf
reesewitherspoon,-1.659464661,-0.470477541,1.4484978,Factor2,13.64889699,2.252402707,43.47002462,0,617,#f6ebcf,0xf6ebcf
victoriabeckham,1.446517793,1.718068922,0.699986081,Factor6,13.81746184,2.352478493,23.12987928,0,195,#f6ebcf,0xf6ebcf
jessicaalba,0.013616303,0.287302902,0.805323469,Factor2,12.31741599,0.855145749,55.64433462,0,189,#f6ebcf,0xf6ebcf
sofiavergara,-0.478235854,0.672429399,0.926078842,Factor2,13.41124098,1.240359968,27.88073017,0,135,#f6ebcf,0xf6ebcf
amyschumer,-0.884120857,0.655540499,0.995399467,Factor2,13.12638146,1.483988926,16.61921538,0,334,#f6ebcf,0xf6ebcf
traceeellisross,2.066010172,-1.617171219,0.847182571,Factor5,15.98960788,2.757056236,6.247693528,0,143,#f6ebcf,0xf6ebcf
serenawilliams,1.636515051,-0.307440584,0.608923211,Factor5,14.52469684,1.772988635,23.55783187,0,202,#f6ebcf,0xf6ebcf
haileybieber,1.19060449,-0.410559374,-0.397983392,Factor1,14.02778759,1.320790987,37.88578388,0,153,#f6ebcf,0xf6ebcf
sephora,1.182197354,-0.570867329,0.149167153,Factor6,12.6223439,1.321261114,69.35287233,0,194,#f6ebcf,0xf6ebcf
willsmith,0.952422229,0.097257909,0.597227563,Factor5,13.32314456,1.128382898,37.43354192,0,291,#f6ebcf,0xf6ebcf
jadapinkettsmith,2.182524746,-1.629495551,0.965436573,Factor5,15.7921115,2.889764315,4.344875221,0,145,#f6ebcf,0xf6ebcf
kyliejenner,2.939397274,-1.451793013,0.688161525,Factor1,18.09375186,3.349824707,7.677241612,0,482,#f6ebcf,0xf6ebcf
aliciakeys,1.345407115,-0.965907006,1.006571678,Factor5,13.94208674,1.938113307,7.525431501,0,144,#f6ebcf,0xf6ebcf
champagnepapi,2.394215578,-0.657611306,-0.102070975,Factor5,14.00177329,2.484982766,32.80290528,0,253,#f6ebcf,0xf6ebcf
lisavanderpump,2.0942682,3.113300391,-0.083545694,Factor7,17.16915583,3.753075872,2.441988303,0,128,#f6ebcf,0xf6ebcf
stassischroeder,1.124538175,1.280026462,-0.665770542,Factor7,15.03029386,1.829290645,22.52480858,0,163,#f6ebcf,0xf6ebcf
iamcardib,2.998933142,-0.63092667,0.499441963,Factor1,14.26336538,3.105013804,18.05133558,0,343,#f6ebcf,0xf6ebcf
shakira,0.636678822,0.261315534,1.048014837,Factor1,12.50553359,1.253786597,52.10841509,0,166,#f6ebcf,0xf6ebcf
khloekardashian,2.622473831,-1.550382344,0.78267802,Factor1,17.73316558,3.145415599,5.978201363,0,487,#f6ebcf,0xf6ebcf
gabunion,1.487827071,-1.779926562,0.79294406,Factor5,15.11632164,2.451637869,14.22564865,0,153,#f6ebcf,0xf6ebcf
beyonce,2.833297831,-0.879643596,1.121746759,Factor5,14.39034379,3.171697534,17.38949254,0,515,#f6ebcf,0xf6ebcf
liketoknow.it,-0.096668376,-1.377065046,-0.42556,Factor3,13.51411092,1.444560221,40.92542515,0,191,#f6ebcf,0xf6ebcf
robinnyc,0.239598465,-0.697534966,-0.247194737,Factor8,16.02207947,0.777860972,41.74780486,0,546,#392c2c,0x392c2c
oprah,1.0024115,-0.780032917,1.209389275,Factor5,14.82318135,1.75382513,19.90947714,0,381,#f6ebcf,0xf6ebcf
sophiet,-1.009047721,0.99035148,-0.162517041,Factor2,12.69387351,1.423160267,33.85022768,0,222,#f6ebcf,0xf6ebcf
voguemagazine,1.9810158,1.701879683,0.139734633,Factor6,15.76368785,2.615405098,8.071399942,0,200,#f6ebcf,0xf6ebcf
aloyoga,0.149214689,-0.695750998,-0.101287646,Factor3,11.58987317,0.718744504,52.43911929,0,137,#f6ebcf,0xf6ebcf
joerogan,0.095085073,0.718365451,-0.726468982,Factor2,11.31215696,1.026083463,91.43946741,0,152,#f6ebcf,0xf6ebcf
tonyrobbins,0.718404647,-0.371545687,-0.075025618,Factor5,11.43690479,0.812268599,30.19957096,0,135,#f6ebcf,0xf6ebcf
justinbieber,1.338478633,-1.18107035,0.694250025,Factor1,15.37385513,1.915315984,13.38435472,0,259,#f6ebcf,0xf6ebcf
bellahadid,2.250196344,0.717150099,0.446004839,Factor1,14.78042595,2.403457545,44.14804645,0,146,#f6ebcf,0xf6ebcf
dualipa,1.338049443,-0.382666548,0.848739337,Factor1,13.79046392,1.630082348,15.66371125,0,131,#f6ebcf,0xf6ebcf
mindykaling,-1.076726173,0.152236027,0.769598526,Factor2,12.51328112,1.332215054,24.08719593,0,266,#f6ebcf,0xf6ebcf
halfbakedharvest,-0.552553175,-1.121155148,-0.394548088,Factor3,12.99666011,1.310714337,25.82573716,0,150,#f6ebcf,0xf6ebcf
